Вопрос;Ответ
Что такое сложение?;Сложение — это математическое действие, при котором два числа объединяются в одно.
Как называется результат сложения?;Результат сложения называется суммой.
Что такое вычитание?;Вычитание — это математическое действие, при котором из одного числа убирают другое.
Как называется результат вычитания?;Результат вычитания называется разностью.
Что такое умножение?;Умножение — это многократное сложение одного и того же числа.
Как называется результат умножения?;Результат умножения называется произведением.
Что такое деление?;Деление — это распределение числа на равные части.
Как называется результат деления?;Результат деления называется частным.
Что такое число?;Число — это значение, которое обозначает количество или порядок.
Что такое ноль?;Ноль — это число, которое обозначает отсутствие количества.
Какие числа называются чётными?;Чётные числа — это те, которые делятся на 2 без остатка.
Какие числа называются нечётными?;Нечётные числа — это те, которые при делении на 2 дают остаток 1.
Что такое десяток?;Десяток — это 10 единиц.
Что такое таблица умножения?;Это таблица, помогающая быстро находить произведения чисел.
Что такое уравнение?;Это равенство с неизвестным числом.
Как найти неизвестное в уравнении?;Надо выполнить обратные действия.
Что такое геометрическая фигура?;Это форма, ограниченная линиями.
Какие бывают фигуры?;Квадрат, круг, прямоугольник, треугольник.
Сколько сторон у треугольника?;У треугольника три стороны.
Сколько углов у квадрата?;У квадрата четыре угла.
Сколько сторон у круга?;У круга нет сторон, он круглый.
Как найти периметр квадрата?;Надо сложить все стороны или умножить сторону на 4.
Что такое периметр?;Это сумма всех сторон фигуры.
Что такое длина?;Длина — это расстояние от одного конца до другого.
Как измеряют длину?;Сантиметрами, метрами и миллиметрами.
Сколько сантиметров в метре?;100 сантиметров.
Сколько миллиметров в сантиметре?;10 миллиметров.
Что такое вес?;Вес — это мера тяжести предмета.
Как измеряют вес?;В граммах и килограммах.
Сколько граммов в килограмме?;1000 граммов.
Что такое время?;Время — это последовательность событий.
Как измеряют время?;В секундах, минутах и часах.
Сколько минут в часе?;60 минут.
Сколько секунд в минуте?;60 секунд.
Что такое прямоугольник?;Это фигура с четырьмя углами и разными сторонами.
Что такое квадрат?;Это фигура с четырьмя равными сторонами и углами.
Что такое треугольник?;Это фигура с тремя сторонами и углами.
Что такое круг?;Это фигура без углов и сторон.
Что больше: килограмм или грамм?;Больше килограмм.
Как найти площадь квадрата?;Сторону умножить на сторону.
Что такое площадь?;Это размер поверхности.
Сколько дней в неделе?;7 дней.
Какие дни недели ты знаешь?;Понедельник, вторник, среда, четверг, пятница, суббота, воскресенье.
Что такое половина?;Половина — это часть, равная одной из двух.
Что такое четверть?;Четверть — это одна из четырёх равных частей.
Как сравнивать числа?;Сравнивают по величине: больше, меньше или равно.
Что такое последовательность чисел?;Это числа, идущие друг за другом.
Что такое счёт?;Это процесс подсчёта предметов или чисел.
Что значит округлить число?;Округлить — значит заменить числом, близким к нему.
Зачем нужна математика?;Чтобы решать задачи в жизни и на уроках.
Что такое задача?;Это вопрос, требующий вычислений.
Что такое пример?;Это выражение с действиями, которое надо решить.
